lake_id,lake_name,region,latitude,longitude,elevation_m,lake_area_km2,glacier_retreat_m_per_yr,distance_from_glacier_m,slope_deg,rainfall_mm,temperature_c,snowfall_mm,earthquake_magnitude,glof_risk,lake_type
GL0001,West Cirque Tso 747,Ladakh,32.7599,78.1434,5860.6,0.751,19.12,893.2,19.4,2440.8,0.11,836.0,4.3,0,synthetic
GL0002,North Hollow Tal 644,Himachal Pradesh,31.3834,76.4243,4126.5,0.616,23.6,517.5,19.6,1616.4,0.65,360.6,4.62,1,synthetic
GL0003,East Valley Tso 531,Ladakh,33.6934,78.5961,5684.1,0.105,28.75,659.2,14.2,2070.9,-6.05,1293.1,3.13,0,synthetic
GL0004,High Basin Tso 101,Ladakh,32.9363,79.3702,4744.1,0.345,14.0,380.0,1.0,1289.2,2.42,,4.29,0,synthetic
GL0005,High Glacier Sar 598,Jammu & Kashmir,33.9578,74.5019,4553.7,0.748,28.24,375.2,19.9,1314.5,-4.63,1362.1,4.03,1,synthetic
GL0006,East Spur Tal 380,Uttarakhand,29.6715,79.3562,5380.4,0.345,28.87,50.0,18.3,1394.6,0.27,1688.6,5.03,1,synthetic
GL0007,East Basin Sar 223,Jammu & Kashmir,33.9873,75.9741,5120.2,0.148,5.68,1935.9,15.6,1153.0,-3.94,1274.2,4.44,0,synthetic
GL0008,Lower Hollow Tal 025,Himachal Pradesh,32.1061,77.2609,3799.3,0.056,32.71,784.2,25.6,1728.9,1.35,1834.2,4.19,1,synthetic
GL0009,Inner Hollow Tal 376,Uttarakhand,30.2954,79.1215,3564.8,0.271,25.42,50.0,17.5,1821.0,-1.97,1049.2,4.11,1,synthetic
GL0010,Far Valley Tal 421,Uttarakhand,29.7038,80.0552,4556.3,0.053,23.45,981.7,18.4,1536.0,-4.93,1813.0,2.79,0,synthetic
GL0011,High Valley Tso 196,Ladakh,34.1994,77.1417,3660.5,0.3,15.13,571.8,12.8,1807.8,3.68,1245.7,3.37,0,synthetic
